-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
35/0 |26/2|146|3/18|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
36/0 |26/3|147|3/19|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
37/0 |25/0|136|3/ 8|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
38/0 |25/1|137|3/ 9|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
39/0 |25/2|138|3/10|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
40/0 |25/3|139|3/11|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
41/0 |24/0|128|3/ 0|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
42/0 |24/1|129|3/ 1|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
43/0 |24/2|130|3/ 2|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
44/0 |24/3|131|3/ 3|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
45/0 |23/0|132|3/ 4|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
46/0 |23/1|133|3/ 5|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
47/0 |23/2|134|3/ 6|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
48/0 |23/3|135|3/ 7|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
49/0 |20/0|156|3/28|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
49/1 |20/1|157|3/29|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
49/2 |20/2|158|3/30|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
49/3 |20/3|159|3/31|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
50/0 |22/0|140|3/12|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
50/1 |22/1|141|3/13|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
50/2 |22/2|142|3/14|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
50/3 |22/3|143|3/15|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
51/0 |16/0|188|3/60|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
51/1 |16/1|189|3/61|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
51/2 |16/2|190|3/62|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
51/3 |16/3|191|3/63|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
52/0 |18/0|172|3/44|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
52/1 |18/1|173|3/45|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
52/2 |18/2|174|3/46|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
52/3 |18/3|175|3/47|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
53/0 |12/0| 32|0/32|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
53/1 |12/1| 33|0/33|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
53/2 |12/2| 34|0/34|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
53/3 |12/3| 35|0/35|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
54/0 |14/0| 48|0/48|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
54/1 |14/1| 49|0/49|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
54/2 |14/2| 50|0/50|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
54/3 |14/3| 51|0/51|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
55/0 | 9/0|  8|0/ 8|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
55/1 | 9/1|  9|0/ 9|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
55/2 | 9/2| 10|0/10|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
55/3 | 9/3| 11|0/11|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
56/0 |10/0| 16|0/16|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
56/1 |10/1| 17|0/17|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
56/2 |10/2| 18|0/18|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
56/3 |10/3| 19|0/19|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
57/0 |32/0| 64|0/64|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
57/1 |32/1| 65|0/65|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
57/2 |32/2| 66|0/66|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
57/3 |32/3| 67|0/67|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
