-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
25/0 |31/0|184|3/56|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
25/1 |31/1|185|3/57|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
25/2 |31/2|186|3/58|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
25/3 |31/3|187|3/59|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
26/0 |30/0|176|3/48|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
26/1 |30/1|177|3/49|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
26/2 |30/2|178|3/50|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
26/3 |30/3|179|3/51|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
27/0 |29/0|168|3/40|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
27/1 |29/1|169|3/41|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
27/2 |29/2|170|3/42|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
27/3 |29/3|171|3/43|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
28/0 |28/0|160|3/32|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
28/1 |28/1|161|3/33|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
28/2 |28/2|162|3/34|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
28/3 |28/3|163|3/35|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
29/0 |26/0|144|3/16|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
29/1 |26/1|145|3/17|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
29/2 |26/2|146|3/18|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
29/3 |26/3|147|3/19|-------|----|--|--|YES|---|---|--------|----------------|----------------|-
30/0 |27/0|152|3/24|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
30/1 |27/1|153|3/25|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
30/2 |27/2|154|3/26|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
30/3 |27/3|155|3/27|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
PORT |MAC |D_P|P/PT|SPEED  |FEC |AN|KR|RDY|ADM|OPR|LPBK    |FRAMES RX       |FRAMES TX       |E
-----+----+---+----+-------+----+--+--+---+---+---+--------+----------------+----------------+-
31/0 |24/0|128|3/ 0|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
31/1 |24/1|129|3/ 1|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
31/2 |24/2|130|3/ 2|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
31/3 |24/3|131|3/ 3|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
32/0 |25/0|136|3/ 8|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
32/1 |25/1|137|3/ 9|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
32/2 |25/2|138|3/10|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
32/3 |25/3|139|3/11|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
33/0 |32/0| 64|1/64|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
33/1 |32/1| 65|1/65|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
33/2 |32/2| 66|1/66|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
33/3 |32/3| 67|1/67|-------|----|--|--|NO |---|---|--------|----------------|----------------|-
